#Table: J/MNRAS/441/2361/table1.dat (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
G|               |            |      |    |    |      | |     |      |     |     |        |        |
r|               |            |      |    |    |      |l|     |      |     |     |        |        |
o|               |            |      |    |    |      |_|     |      |     | log1|        |        |
u|               |            |      |    |  Ra|      |R|     |      | log1|0(LX/|        |       O|
p|Star           |n_Star      |SpType|Mass|dius|  Prot|o|   Ro|   Age|0(LX)|Lbol)|  <|BV|>|bs.Epoch|Ref
-|---------------|------------|------|----|----|------|-|-----|------|-----|-----|--------|--------|----------------------------------------------------------------------------------------------------------------------------
2|TYC0486-4943-1 |            |K3    |0.69|0.68| 3.75 | |-    | 120. |-    |-    |  20.1  |2013 Jun|2016MNRAS.457..580F, 2013ApJ...766....6B, 2005ApJ...628L..69L
2|TYC5164-567-1  |            |K2    |0.85|0.79| 4.71 | |-    | 120. |-    |-    |  39.4  |2013 Jun|2016MNRAS.457..580F, 2013ApJ...766....6B, 2005ApJ...628L..69L
2|TYC6349-0200-1 |            |K6    |0.54|0.54| 3.39 | |-    |  21. |-    |-    |  34.1  |2013 Jun|2016MNRAS.457..580F, 2014MNRAS.438L..11B
2|TYC6878-0195-1 |            |K4    |0.65|0.64| 5.72 | |-    |  21. |-    |-    |  31.7  |2013 Jun|2016MNRAS.457..580F, 2014MNRAS.438L..11B
3|tau Boo        |            |F7V   |1.34|1.42| 3.00 |>|0.732|2500. |28.94|-5.12|   1.06 |2008 Jan|2009MNRAS.398.1383F, 2013MNRAS.435.1451F, 2005A&A...443..609S, 2010A&A...515A..98P
3|tau Boo        |            |F7V   |1.34|1.42| 3.00 |>|0.732|2500. |28.94|-5.12|   1.81 |2007 Jun|2008MNRAS.385.1179D, 2013MNRAS.435.1451F, 2005A&A...443..609S, 2010A&A...515A..98P
3|tau Boo        |            |F7V   |1.34|1.42| 3.00 |>|0.732|2500. |28.94|-5.12|   0.856|2006 Jun|2007MNRAS.374L..42C, 2013MNRAS.435.1451F, 2005A&A...443..609S, 2010A&A...515A..98P
3|tau Boo        |            |F7V   |1.34|1.42| 3.00 |>|0.732|2500. |28.94|-5.12|   0.925|2008 Jul|2009MNRAS.398.1383F, 2013MNRAS.435.1451F, 2005A&A...443..609S, 2010A&A...515A..98P
3|HD  46375      |            |K1IV  |0.97|0.86|42.0  | |2.340|5000. |27.45|-5.85|   1.83 |2008 Jan|2013MNRAS.435.1451F, 2005A&A...443..609S, 2008ApJ...687.1339K
3|HD  73256      |            |G8    |1.05|0.89|14.0  | |0.962| 830. |28.53|-4.91|   4.38 |2008 Jan|2013MNRAS.435.1451F, 2003A&A...407..679U, 2008ApJ...687.1339K
3|HD 102195      |            |K0V   |0.87|0.82|12.3  | |0.473|2400. |28.46|-4.80|   4.98 |2008 Jan|2013MNRAS.435.1451F, 2006ApJ...648..683G, 2010A&A...515A..98P
3|HD 130322      |            |K0V   |0.79|0.83|26.1  | |0.782| 930. |27.62|-5.66|   1.76 |2008 Jan|2013MNRAS.435.1451F, 2005A&A...443..609S, 2010A&A...515A..98P
3|HD 179949      |            |F8V   |1.21|1.19| 7.60 |>|1.726|2100. |28.61|-5.24|   1.53 |2007 Jun|2012MNRAS.423.1006F, 2013MNRAS.435.1451F, 2005A&A...443..609S, 2010A&A...515A..98P
3|HD 179949      |            |F8V   |1.21|1.19| 7.60 |>|1.726|2100. |28.61|-5.24|   2.39 |2009 Sep|2012MNRAS.423.1006F, 2013MNRAS.435.1451F, 2005A&A...443..609S, 2010A&A...515A..98P
3|HD 189733      |            |K2V   |0.82|0.76|12.5  | |0.403| 600. |28.26|-4.85|   9.21 |2008 Jul|2010MNRAS.406..409F, 2013MNRAS.435.1451F, 2006A&A...460..251M, 2010A&A...515A..98P
3|HD 189733      |            |K2V   |0.82|0.76|12.5  | |0.403| 600. |28.26|-4.85|   9.23 |2007 Jun|2010MNRAS.406..409F, 2013MNRAS.435.1451F, 2006A&A...460..251M, 2010A&A...515A..98P
4|CE Boo         |            |M2.5  |0.48|0.43|14.7  |<|0.288| 130. |28.40|-3.70|  91.6  |2008 Jan|2008MNRAS.390..545D, 1998ApJ...499L.199S
4|DS Leo         |            |M0    |0.58|0.52|14.0  |<|0.267| 710. |28.30|-4.00|  23.9  |2007 Dec|2008MNRAS.390..545D, 2014MNRAS.438.1162V
4|DS Leo         |            |M0    |0.58|0.52|14.0  |<|0.267| 710. |28.30|-4.00|  27.4  |2007 Jan|2008MNRAS.390..545D, 2014MNRAS.438.1162V
4|GJ 182         |            |M0.5  |0.75|0.82| 4.35 | |0.054|  21. |29.60|-3.10|  73.6  |2007 Jan|2008MNRAS.390..545D, 2014MNRAS.438L..11B
4|GJ 49          |            |M1.5  |0.57|0.51|18.6  |<|0.352|1200. |28.00|-4.30|  16.3  |2007 Jul|2008MNRAS.390..545D, 2014MNRAS.438.1162V
4|AD Leo         |            |M3    |0.42|0.38| 2.24 | |0.047|   -  |28.73|-3.18| 152.   |2008 Feb|2008MNRAS.390..567M
4|DT Vir         |            |M0.5  |0.59|0.53| 2.85 | |0.092|   -  |28.92|-3.40|  76.6  |2008 Feb|2008MNRAS.390..545D
4|EQ Peg A       |            |M3.5  |0.39|0.35| 1.06 | |0.020|   -  |28.83|-3.02| 282.   |2006 Aug|2008MNRAS.390..567M
4|EQ Peg B       |            |M4.5  |0.25|0.25| 0.400| |0.005|   -  |28.19|-3.25| 364.   |2006 Aug|2008MNRAS.390..567M
4|EV Lac         |            |M3.5  |0.32|0.30| 4.37 | |0.068|   -  |28.37|-3.32| 406.   |2007 Aug|2008MNRAS.390..567M
4|GJ 1111        |            |M6    |0.10|0.11| 0.460| |0.005|   -  |27.61|-2.75|  51.5  |2009    |2010MNRAS.407.2269M, 1995ApJ...450..392S
4|GJ 1156        |            |M5    |0.14|0.16| 0.490| |0.005|   -  |27.69|-3.29|  64.9  |2009    |2010MNRAS.407.2269M, 2011ApJ...743...48W
4|GJ 1245B       |            |M5.5  |0.12|0.14| 0.710| |0.007|   -  |27.35|-3.44|  44.5  |2008    |2010MNRAS.407.2269M, 2011ApJ...743...48W
4|OT Ser         |            |M1.5  |0.55|0.49| 3.40 | |0.097|   -  |28.80|-3.40|  81.0  |2008 Feb|2008MNRAS.390..545D
4|V374 Peg       |            |M4    |0.28|0.28| 0.450| |0.006|   -  |28.36|-3.20| 493.   |2006 Aug|2008MNRAS.384...77M, 2008MNRAS.390..567M
4|V374 Peg       |            |M4    |0.28|0.28| 0.450| |0.006|   -  |28.36|-3.20| 554.   |2005 Aug|2008MNRAS.384...77M, 2008MNRAS.390..567M
4|WX UMa         |            |M6    |0.10|0.12| 0.780| |0.008|   -  |27.57|-2.92|1580.   |2009    |2010MNRAS.407.2269M, 1995ApJ...450..392S
4|YZ CMi         |            |M4.5  |0.32|0.29| 2.77 | |0.042|   -  |28.33|-3.33| 520.   |2007 Feb|2008MNRAS.390..567M
4|YZ CMi         |            |M4.5  |0.32|0.29| 2.77 | |0.042|   -  |28.33|-3.33| 480.   |2008 Feb|2008MNRAS.390..567M
5|Sun            |Max [CR1851]|G2V   |1.00|1.00|25.0  | |1.577|4600. |27.67|-5.91|   3.81 |1982 Jan|2000ApJ...528..537P,  2010NatGe...3..637B
5|Sun            |Min [CR1907]|G2V   |1.00|1.00|25.0  | |1.577|4600. |26.43|-7.15|   1.89 |1986 Mar|2000ApJ...528..537P,  2010NatGe...3..637B
6|AA Tau         |            |K7    |0.70|2.00| 8.22 | |0.036|   1.4|30.08|-3.50| 918.   |2009 Jan|2010MNRAS.409.1347D, 2014MNRAS.437.3202J, 2000A&A...358..593S, 2012ApJ...755...97G, 2007A&A...468..353G
6|BP Tau         |            |K7    |0.70|1.95| 7.60 | |0.032|   1.9|30.15|-3.40| 685.   |2006 Feb|2008MNRAS.386.1234D, 2014MNRAS.437.3202J, 2000A&A...358..593S, 2012ApJ...755...97G, 2007A&A...468..353G
6|BP Tau         |            |K7    |0.70|1.95| 7.60 | |0.032|   1.9|30.15|-3.40| 654.   |2006 Dec|2008MNRAS.386.1234D, 2014MNRAS.437.3202J, 2000A&A...358..593S, 2012ApJ...755...97G, 2007A&A...468..353G
6|CR Cha         |            |K2    |1.90|2.50| 2.30 | |0.025|   2.8|30.30|-3.86| 161.   |2006 Apr|2009MNRAS.398..189H, 2014MNRAS.437.3202J, 2000A&A...358..593S, 2012ApJ...755...97G, 2011AJ....141..127I
6|CV Cha         |            |G8    |2.00|2.50| 4.40 | |0.079|   4.8|30.11|-4.36| 170.   |2006 Apr|2009MNRAS.398..189H, 2014MNRAS.437.3202J, 2000A&A...358..593S, 2012ApJ...755...97G, 1993ApJ...416..623F
6|DN Tau         |            |M0    |0.65|1.90| 6.32 | |0.027|   1.7|30.08|-3.41| 195.   |2012 Dec|2000A&A...358..593S, 2013MNRAS.436..881D, 2007A&A...468..353G
6|DN Tau         |            |M0    |0.65|1.90| 6.32 | |0.027|   1.7|30.08|-3.41| 317.   |2010 Dec|2000A&A...358..593S, 2013MNRAS.436..881D, 2007A&A...468..353G
6|GQ Lup         |            |K7    |1.05|1.70| 8.40 | |0.042|   3.4|29.87|-3.71| 600.   |2011 Jun|2012MNRAS.425.2948D, 2014MNRAS.437.3202J, 2000A&A...358..593S, 2012ApJ...755...97G, 2010A&A...519A.113G
6|GQ Lup         |            |K7    |1.05|1.70| 8.40 | |0.042|   3.4|29.87|-3.71| 761.   |2009 Jul|2012MNRAS.425.2948D, 2014MNRAS.437.3202J, 2000A&A...358..593S, 2012ApJ...755...97G, 2010A&A...519A.113G
6|TW Hya         |            |K7    |0.80|1.10| 3.56 | |0.020|   9.6|30.32|-2.80| 885.   |2008 Mar|2011MNRAS.417..472D, 2014MNRAS.437.3202J, 2000A&A...358..593S, 2012ApJ...755...97G, 2010A&A...519A.113G
6|TW Hya         |            |K7    |0.80|1.10| 3.56 | |0.020|   9.6|30.32|-2.80|1120.   |2010 Mar|2011MNRAS.417..472D, 2014MNRAS.437.3202J, 2000A&A...358..593S, 2012ApJ...755...97G, 2010A&A...519A.113G
6|V2129 Oph      |            |K5    |1.35|2.00| 6.53 | |0.036|   3.7|30.43|-3.30| 499.   |2005 Jun|2011MNRAS.412.2454D, 2014MNRAS.437.3202J, 2000A&A...358..593S, 2012ApJ...755...97G, 2011A&A...530A...1A
6|V2129 Oph      |            |K5    |1.35|2.00| 6.53 | |0.036|   3.7|30.43|-3.30| 644.   |2009 Jul|2011MNRAS.412.2454D, 2014MNRAS.437.3202J, 2000A&A...358..593S, 2012ApJ...755...97G, 2011A&A...530A...1A
6|V2247 Oph      |            |M1    |0.36|2.00| 3.50 | |0.016|   1.4|30.11|-3.14| 142.   |2008 Jul|2010MNRAS.402.1426D, 2014MNRAS.437.3202J, 2000A&A...358..593S, 2012ApJ...755...97G, 2010A&A...519A..34P
6|V4046 Sgr A    |            |K5    |0.95|1.12| 2.42 | |0.021|  16. |30.08|-3.11|  69.1  |2009 Sep|2011MNRAS.417.1747D, 2014MNRAS.437.3202J, 2000A&A...358..593S, 2012ApJ...755...97G, 2012ApJ...747..142S
6|V4046 Sgr B    |            |K5    |0.85|1.04| 2.42 | |0.019|  17. |30.08|-2.93| 102.   |2009 Sep|2011MNRAS.417.1747D, 2014MNRAS.437.3202J, 2000A&A...358..593S, 2012ApJ...755...97G, 2012ApJ...747..142S
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
